hhsubid_pos,mean_s,mean_lower_95,mean_upper_95,minus_sd_s,minus_sd_lower_95,minus_sd_upper_95,plus_sd_s,plus_sd_lower_95,plus_sd_upper_95,mean_pos_selection,minus_sd_pos_selection,plus_sd_pos_selection
1903904-NA_-760,-0.154221087748,-0.497839,0.194447,-0.152883424635,-0.499197,0.192066,-0.036004955988,-0.499197,0.192066,FALSE,FALSE,FALSE
1806902-NP-87,0.0658028686326,-0.139258,0.28007,0.0357217395916,-0.175876,0.302329,0.0710494452100001,-0.175876,0.302329,FALSE,FALSE,FALSE
1902701-HA-754,0.0237225985228,-0.198075,0.234635,0.02962980154,-0.187016,0.286905,0.0080059417615,-0.187016,0.286905,FALSE,FALSE,FALSE
1902701-PA-1502,-0.039226111702,-0.21005,0.130233,-0.0333058212555,-0.248765,0.148266,-0.0432816012074,-0.248765,0.148266,FALSE,FALSE,FALSE
1805202-NA_-1427,-0.11916974186354,-0.496641,0.31166,-0.0776251154180001,-0.480882,0.329069,-0.1141157261155,-0.480882,0.329069,FALSE,FALSE,FALSE
1910302-M-876,0.191931063913,-0.0878946,0.496959,0.0202703590514,-0.345746,0.484508,0.136866268311,-0.345746,0.484508,FALSE,FALSE,FALSE
1910302-M-902,0.125715714762,-0.214226,0.496037,0.024758874282,-0.354625,0.47952,0.15325850138,-0.354625,0.47952,FALSE,FALSE,FALSE
1910302-NA_-344,0.31899673735,0.109493,0.498957,0.25883496159,-0.0069071,0.49997,0.3138911924,-0.0069071,0.49997,TRUE,FALSE,FALSE
1700401-HA-628,-0.106172276465,-0.499491,0.384595,-0.1527823628893,-0.4995,0.362325,-0.00443856677399999,-0.4995,0.362325,FALSE,FALSE,FALSE
1803002-NP-51,0.228070352035,-0.0685,0.498115,0.1943211042391,-0.136045,0.499935,0.248835610446,-0.136045,0.499935,FALSE,FALSE,FALSE
1803002-NP-814,0.44765902,0.364514,0.499875,0.439449747,0.328133,0.499969,0.450364007,0.328133,0.499969,TRUE,TRUE,TRUE
1803002-PB2-399,-0.3817815017,-0.49993,-0.216589,-0.35023367024,-0.499987,-0.144683,-0.37932265547,-0.499987,-0.144683,FALSE,FALSE,FALSE
1806902-HA-672,0.083965459824,-0.313471,0.499929,-0.146130628681,-0.499735,0.362445,-0.019861946579,-0.499735,0.362445,FALSE,FALSE,FALSE
1806902-M-710,0.0328884849521,-0.391073,0.472356,-0.131272207843,-0.499964,0.377346,-0.147035741007,-0.499964,0.377346,FALSE,FALSE,FALSE
1806902-PA-1724,0.0138647417241,-0.417408,0.462912,-0.17322295494,-0.499907,0.336543,-0.072255419755,-0.499907,0.336543,FALSE,FALSE,FALSE
1806902-PA-521,-0.1155803472779,-0.432633,0.243521,-0.0875393597555001,-0.453612,0.304855,-0.117235037443,-0.453612,0.304855,FALSE,FALSE,FALSE
1806902-PA-523,-0.120929638051,-0.47253,0.196025,-0.1104809705318,-0.458422,0.280547,-0.123789936375,-0.458422,0.280547,FALSE,FALSE,FALSE
1806902-PB1-1344,-0.024511037323,-0.475872,0.397041,-0.025872469163,-0.403472,0.449035,-0.007232747353,-0.403472,0.449035,FALSE,FALSE,FALSE
1809602-HA-628,-0.021144394327,-0.417714,0.431287,-0.03414109671,-0.465329,0.403307,-0.013210054467,-0.465329,0.403307,FALSE,FALSE,FALSE
1809602-M-911,-0.193535473735,-0.477437,0.0854915,-0.184113791951,-0.497748,0.0979335,-0.2006402186549,-0.497748,0.0979335,FALSE,FALSE,FALSE
1809602-NP-96,-0.2587557304,-0.498353,0.0367741,-0.264169807025,-0.499901,0.0496153,-0.29489922943,-0.499901,0.0496153,FALSE,FALSE,FALSE
1809602-PB1-1572,-0.272110467581,-0.498603,-0.0284721,-0.268900647015,-0.493714,-0.0198387,-0.27860455836,-0.493714,-0.0198387,FALSE,FALSE,FALSE
1809802-HA-49,-0.343260879558,-0.499869,-0.126133,-0.306314624859,-0.499901,-0.0256902,-0.36545695765,-0.499901,-0.0256902,FALSE,FALSE,FALSE
1809802-NS-435,0.151654414058,-0.206632,0.490458,0.13372463213,-0.245831,0.49892,0.156660230575,-0.245831,0.49892,FALSE,FALSE,FALSE
1809802-PA-1414,0.1566429730721,-0.181354,0.49975,0.157665873176,-0.235921,0.498906,0.185728353617,-0.235921,0.498906,FALSE,FALSE,FALSE
1809802-PA-848,0.091252479092,-0.353859,0.497913,-0.047395361704,-0.484102,0.418164,0.0975412665956,-0.484102,0.418164,FALSE,FALSE,FALSE
1811502-HA-628,0.03817325149,-0.337327,0.49876,0.021143993786,-0.398309,0.455336,-0.00791715618500002,-0.398309,0.455336,FALSE,FALSE,FALSE
1811502-NA_-1202,0.401818417,0.259767,0.499952,0.3807877098,0.196547,0.499912,0.408677412999999,0.196547,0.499912,TRUE,TRUE,TRUE
1811502-NP-101,0.011656736209,-0.392915,0.431377,0.0149663315933,-0.398872,0.449685,-0.00126016002,-0.398872,0.449685,FALSE,FALSE,FALSE
1811502-PB1-1515,-0.02758021693816,-0.185805,0.147123,-0.0280048620133,-0.227809,0.154484,-0.032291096977,-0.227809,0.154484,FALSE,FALSE,FALSE
1811502-PB2-2013,0.332408422448,0.130148,0.499798,0.31880337775,0.103981,0.499912,0.3408303573,0.103981,0.499912,TRUE,TRUE,TRUE
1902501-HA-628,-0.123797001413,-0.499967,0.386612,-0.147770493216,-0.499755,0.341809,-0.123716213481,-0.499755,0.341809,FALSE,FALSE,FALSE
1902501-HA-884,0.041180909939,-0.303635,0.463586,0.028232796447,-0.373225,0.426303,0.035844978375,-0.373225,0.426303,FALSE,FALSE,FALSE
1902501-NP-1162,0.109465601257,-0.260458,0.438498,0.113194328694,-0.212813,0.490426,0.124770993275,-0.212813,0.490426,FALSE,FALSE,FALSE
1902501-PA-1502,0.07019028105,-0.273185,0.499036,0.061276917432,-0.356479,0.493577,0.07342729442,-0.356479,0.493577,FALSE,FALSE,FALSE
1902501-PB1-2063,0.34281668866,0.107508,0.499923,0.31180406198,0.046626,0.499646,0.35748797021,0.046626,0.499646,TRUE,TRUE,TRUE
1902501-PB2-1440,0.164749752722,-0.189961,0.498511,-0.031795299426,-0.493342,0.405702,0.14525999233,-0.493342,0.405702,FALSE,FALSE,FALSE
1902501-PB2-193,0.125462207977,-0.0173063,0.299783,0.126704909611,-0.0436851,0.29768,0.125251154231,-0.0436851,0.29768,FALSE,FALSE,FALSE
1902601-HA-628,0.0992391867760002,-0.336016,0.491,-0.162747333186,-0.499986,0.339099,0.028141905069,-0.499986,0.339099,FALSE,FALSE,FALSE
1902601-HA-992,0.2961925812,0.14252,0.480467,0.2972849661,0.117959,0.482472,0.3017388101,0.117959,0.482472,TRUE,TRUE,TRUE
1902601-NS-281,-0.135198635252,-0.499195,0.365963,-0.15711848148,-0.499807,0.355188,0.000725154833999998,-0.499807,0.355188,FALSE,FALSE,FALSE
1902601-NS-822,0.01774353901,-0.421449,0.447296,-0.120765311997,-0.499748,0.386345,-0.0743022342342,-0.499748,0.386345,FALSE,FALSE,FALSE
1902601-PA-1502,0.019031850353,-0.315201,0.408821,0.020914416029,-0.391983,0.405099,0.0288725625369,-0.391983,0.405099,FALSE,FALSE,FALSE
1902601-PA-2060,0.4003830244,0.237073,0.49961,0.38661821463,0.19733,0.499989,0.4098409685,0.19733,0.499989,TRUE,TRUE,TRUE
1902601-PA-243,-0.105445548124,-0.254635,0.0506807,-0.104156972262,-0.284868,0.103178,-0.103392527339,-0.284868,0.103178,FALSE,FALSE,FALSE
1902601-PA-727,-0.196086337353,-0.337045,-0.0670069,-0.19803434243,-0.340316,-0.0262021,-0.19540212957,-0.340316,-0.0262021,FALSE,FALSE,FALSE
1902601-PB2-494,0.130021904167,-0.284258,0.495288,-0.058759643177,-0.494035,0.388595,0.0853649358244001,-0.494035,0.388595,FALSE,FALSE,FALSE
1902902-NS-240,0.0316366293317,-0.380241,0.49627,-0.145071475096,-0.499372,0.375289,-0.153059536708,-0.499372,0.375289,FALSE,FALSE,FALSE
1904801-HA-628,0.030986866368,-0.379728,0.497394,0.01856153522,-0.407281,0.498117,-0.005726686239,-0.407281,0.498117,FALSE,FALSE,FALSE
1904801-PA-1276,-0.136038975159,-0.497064,0.237945,-0.140911785136,-0.49885,0.297911,-0.1491060927548,-0.49885,0.297911,FALSE,FALSE,FALSE
1904801-PA-1502,-0.018512582303,-0.400986,0.42804,-0.021153918096,-0.423704,0.44214,-0.010752740552,-0.423704,0.44214,FALSE,FALSE,FALSE
1904801-PB2-1686,-0.157421395464,-0.499082,0.352292,-0.153740177717,-0.499392,0.33076,-0.0999209148086999,-0.499392,0.33076,FALSE,FALSE,FALSE
1904801-PB2-341,0.395447281,0.264408,0.499273,0.383312535,0.240595,0.499915,0.398673734000001,0.240595,0.499915,TRUE,TRUE,TRUE
1905602-HA-754,0.027612572276,-0.392686,0.479703,0.01305589332517,-0.398613,0.48762,0.036700649897,-0.398613,0.48762,FALSE,FALSE,FALSE
1905602-NA_-689,0.39775499321,0.221121,0.499644,0.3882391161,0.203296,0.49997,0.39933914882,0.203296,0.49997,TRUE,TRUE,TRUE
1905602-NA_-843,0.387954875200001,0.191832,0.499891,0.378257543759999,0.204708,0.499771,0.4022465649,0.204708,0.499771,TRUE,TRUE,TRUE
1905602-NS-148,-0.38627598,-0.497209,-0.28652,-0.384692791,-0.499854,-0.268471,-0.390357908,-0.499854,-0.268471,FALSE,FALSE,FALSE
1905602-PA-1502,0.0473711786675,-0.20436,0.295448,0.06014060556094,-0.206602,0.409554,0.047394987379,-0.206602,0.409554,FALSE,FALSE,FALSE
1905602-PB1-1137,-0.3688516724,-0.49992,-0.207431,-0.36149304093,-0.499497,-0.188454,-0.3749692542,-0.499497,-0.188454,FALSE,FALSE,FALSE
1905602-PB1-859,0.082967463161,-0.335014,0.498209,-0.042559096877,-0.496198,0.402929,-0.028299626603,-0.496198,0.402929,FALSE,FALSE,FALSE
1906604-HA-1512,-0.037599232938,-0.414782,0.368656,-0.024206568011,-0.432873,0.390943,-0.0517167168619999,-0.432873,0.390943,FALSE,FALSE,FALSE
1906604-NS-389,-0.0400590601628999,-0.423967,0.416746,-0.00478666907299998,-0.441222,0.410769,-0.000221069412710008,-0.441222,0.410769,FALSE,FALSE,FALSE
1906604-PB1-2110,-0.00148529192,-0.424169,0.441907,0.021711038102,-0.393407,0.46273,-0.015097709545,-0.393407,0.46273,FALSE,FALSE,FALSE
1907801-HA-1628,0.3985985894,0.226308,0.499883,0.3776867955,0.195021,0.499869,0.4083542076,0.195021,0.499869,TRUE,TRUE,TRUE
1907801-HA-628,0.0176640276,-0.38625,0.455797,0.024930490015,-0.361425,0.499728,-0.024154637118,-0.361425,0.499728,FALSE,FALSE,FALSE
1907801-NS-578,-0.0518784241039999,-0.497993,0.389182,-0.04110919721,-0.466669,0.414973,-0.10442808209,-0.466669,0.414973,FALSE,FALSE,FALSE
1907801-PA-379,-0.0543644423320001,-0.468979,0.406139,-0.027436317643,-0.457545,0.43423,-0.223564905658,-0.457545,0.43423,FALSE,FALSE,FALSE
1907801-PA-746,0.20105610237,-0.0960005,0.499658,0.188754429382,-0.131568,0.495797,0.225265231204,-0.131568,0.495797,FALSE,FALSE,FALSE
1907801-PB1-154,-0.019063173637,-0.377909,0.428048,-0.023109368255,-0.388065,0.462571,-0.041110583492,-0.388065,0.462571,FALSE,FALSE,FALSE
1907801-PB1-1734,0.038691403891,-0.38474,0.451451,0.018871101405,-0.381409,0.496173,0.042284536947,-0.381409,0.496173,FALSE,FALSE,FALSE
1907801-PB1-1867,-0.0482400342476,-0.374515,0.252275,-0.037603445316,-0.380243,0.270112,-0.047051490847,-0.380243,0.270112,FALSE,FALSE,FALSE
1907801-PB1-211,0.108307555545,-0.243547,0.486785,0.074265664944,-0.28244,0.498407,0.106710426062,-0.28244,0.498407,FALSE,FALSE,FALSE
1907801-PB1-2225,-0.136000633997,-0.498955,0.236297,-0.134407235018,-0.498068,0.280927,-0.156673615036,-0.498068,0.280927,FALSE,FALSE,FALSE
1909403-NA_-376,-0.105830422498,-0.498339,0.319608,-0.040851655901,-0.48498,0.404934,-0.079337056295,-0.48498,0.404934,FALSE,FALSE,FALSE
1909403-NA_-646,0.21523905327,-0.112636,0.499786,0.2024601748251,-0.155701,0.498168,0.239192298667,-0.155701,0.498168,FALSE,FALSE,FALSE
1909403-PA-2001,-0.103353487576,-0.499559,0.396193,-0.1503480674602,-0.499723,0.334293,-0.11282189144,-0.499723,0.334293,FALSE,FALSE,FALSE
1911802-HA-628,0.081204765347,-0.305535,0.488477,0.0834307909600001,-0.332016,0.499968,0.120968872329,-0.332016,0.499968,FALSE,FALSE,FALSE
1911802-HA-872,-0.03238410494,-0.46593,0.40064,-0.0442499086168,-0.467336,0.432025,-0.071845254617,-0.467336,0.432025,FALSE,FALSE,FALSE
1911802-NA_-1262,-0.019561769329,-0.401339,0.445566,-0.017187890266,-0.449433,0.42493,-0.020313056708,-0.449433,0.42493,FALSE,FALSE,FALSE
1911802-NP-146,0.13858453833,-0.119255,0.446685,0.145464022922,-0.148467,0.435603,0.1405192373503,-0.148467,0.435603,FALSE,FALSE,FALSE
1911802-NP-300,-0.188611886035,-0.49977,0.141327,-0.163948344868,-0.499863,0.187073,-0.1892834168992,-0.499863,0.187073,FALSE,FALSE,FALSE
1911802-NP-892,0.030498822342,-0.352354,0.403739,0.0262582600982,-0.346772,0.450572,0.022698246518,-0.346772,0.450572,FALSE,FALSE,FALSE
1911802-PA-165,0.211117073547,-0.150891,0.498112,0.141590443436,-0.282037,0.49776,0.200061620973,-0.282037,0.49776,FALSE,FALSE,FALSE
1911802-PA-1832,-0.063236708503,-0.499717,0.404505,-0.167069117938,-0.498644,0.339354,-0.0947544909750001,-0.498644,0.339354,FALSE,FALSE,FALSE
1911802-PA-703,-0.0174990590267,-0.420003,0.435775,-0.028757046124,-0.449859,0.413434,-0.0455112920925,-0.449859,0.413434,FALSE,FALSE,FALSE
1911802-PA-746,-0.1735142905352,-0.495092,0.160266,-0.15797813564,-0.498112,0.186624,-0.168507357842,-0.498112,0.186624,FALSE,FALSE,FALSE
1911802-PB2-1227,-0.084130385614,-0.454578,0.306553,-0.0752175302419999,-0.499339,0.294433,-0.107026493262,-0.499339,0.294433,FALSE,FALSE,FALSE
1911802-PB2-921,-0.0723581226516001,-0.49525,0.368966,-0.048856233908,-0.489437,0.40377,-0.10324341695,-0.489437,0.40377,FALSE,FALSE,FALSE
1903903-PA-1502,0.0143112523347,-0.152897,0.175057,0.018832134071,-0.17018,0.220262,0.010345485113,-0.17018,0.220262,FALSE,FALSE,FALSE
1903801-HA-754,0.0857911630234,-0.201933,0.38662,0.07927350522,-0.193806,0.411325,0.0755509894752999,-0.193806,0.411325,FALSE,FALSE,FALSE
1903801-PA-1502,0.07853517618,-0.232172,0.396942,0.0542827840219999,-0.388764,0.367191,0.1001552810243,-0.388764,0.367191,FALSE,FALSE,FALSE
1902902-HA-754,0.0356643820052,-0.238993,0.3353,0.0346126162035,-0.24588,0.334232,0.031241680737,-0.24588,0.334232,FALSE,FALSE,FALSE
1902902-NP-434,-0.27532546482,-0.499955,0.0428733,-0.28171243993504,-0.499931,0.0391059,-0.26957588565,-0.499931,0.0391059,FALSE,FALSE,FALSE
1909403-PB2-598,0.39932502,0.300255,0.49861,0.393825525,0.283088,0.498063,0.403029545,0.283088,0.498063,TRUE,TRUE,TRUE
1910302-PB2-1827,-0.006604247132,-0.274742,0.2709,-0.004239842944,-0.26767,0.333983,-0.016347016081,-0.26767,0.333983,FALSE,FALSE,FALSE
1903904-PA-1502,-0.000303173359,-0.240416,0.21715,0.012051286273,-0.213827,0.259829,0.00782767296599999,-0.213827,0.259829,FALSE,FALSE,FALSE
1903903-HA-754,0.036172692137,-0.224647,0.323437,-0.0735180805769997,-0.46837,0.239547,-0.0050557677585,-0.46837,0.239547,FALSE,FALSE,FALSE
1700401-M-31,0.018736208079,-0.402268,0.490581,-0.04584836844,-0.499657,0.409999,-0.0661400854390001,-0.499657,0.409999,FALSE,FALSE,FALSE
1700401-NP-1318,-0.020019795102,-0.414834,0.429352,-0.013815908411,-0.435394,0.41927,-0.00912113378099999,-0.435394,0.41927,FALSE,FALSE,FALSE
1700401-PA-1122,0.024740276138,-0.339646,0.434834,0.029212947517,-0.341874,0.475843,0.025808712636,-0.341874,0.475843,FALSE,FALSE,FALSE
1809802-PA-1893,0.1146786403506,-0.262894,0.499878,-0.119649994593,-0.497612,0.372539,0.0701090918715001,-0.497612,0.372539,FALSE,FALSE,FALSE
1903904-HA-628,0.021147991545,-0.407206,0.448827,-0.060757049154,-0.495776,0.39545,-0.147477386581,-0.495776,0.39545,FALSE,FALSE,FALSE
1910302-NP-1053,-0.29039799737,-0.480518,-0.11864,-0.2895706549,-0.49329,-0.101741,-0.2951027601,-0.49329,-0.101741,FALSE,FALSE,FALSE
1910401-M-553,-0.0538409408981999,-0.361033,0.225087,-0.022280547178,-0.352286,0.323269,-0.0495134873544999,-0.352286,0.323269,FALSE,FALSE,FALSE
1910401-NA_-1382,-0.34992552931,-0.499954,-0.150742,-0.32907381119,-0.499352,-0.0959316,-0.35733386857,-0.499352,-0.0959316,FALSE,FALSE,FALSE
1910401-NA_-869,0.0741571885712001,-0.341532,0.498697,0.0854381965086,-0.314919,0.485383,-0.026470711104,-0.314919,0.485383,FALSE,FALSE,FALSE
1910401-NA_-962,0.000873645340000001,-0.290716,0.335736,0.0124909403148,-0.310062,0.393852,0.001795414683,-0.310062,0.393852,FALSE,FALSE,FALSE
1910902-HA-1061,0.02636358833,-0.386903,0.49822,-0.144001252461,-0.499151,0.358465,-0.144833777591,-0.499151,0.358465,FALSE,FALSE,FALSE
1910902-PA-1942,0.133485224913,-0.297442,0.499971,0.0815845525519999,-0.349127,0.498976,0.180991537535,-0.349127,0.498976,FALSE,FALSE,FALSE
1910902-PA-64,0.28475362659,0.0191368,0.499366,0.263606473558,-0.0389785,0.49954,0.303357432193,-0.0389785,0.49954,TRUE,FALSE,FALSE
1903903-PB1-859,0.044636261327,-0.239347,0.322947,-0.0862092583926,-0.402664,0.280729,0.0073101346029,-0.402664,0.280729,FALSE,FALSE,FALSE
1806902-NP-1071,0.120104054466,0.0349149,0.223207,0.121655428086,0.0136938,0.228024,0.119856659918,0.0136938,0.228024,TRUE,TRUE,TRUE
1806902-NS-298,-0.00537201403250001,-0.230045,0.169818,-0.000813456291299999,-0.203129,0.220894,0.00166686742579,-0.203129,0.220894,FALSE,FALSE,FALSE
1806902-NS-91,-0.012665194431,-0.138647,0.099969,-0.0119475819155,-0.14193,0.122425,-0.00952210377500002,-0.14193,0.122425,FALSE,FALSE,FALSE
1806902-PB1-1040,0.423817031,0.29161,0.499974,0.4055763784,0.227995,0.499955,0.436790862,0.227995,0.499955,TRUE,TRUE,TRUE
1806902-PB2-1874,0.1669708187,0.0606399,0.286412,0.16861680071,0.0436887,0.33016,0.1683937076,0.0436887,0.33016,TRUE,TRUE,TRUE
1806902-PB2-309,0.083401512397,-0.00390005,0.163625,0.0893446023710002,-0.00760281,0.178742,0.0904038327081001,-0.00760281,0.178742,FALSE,FALSE,FALSE
1903901-HA-482,0.014902843033,-0.175707,0.177682,0.013079651749,-0.183051,0.196947,0.0044851750362,-0.183051,0.196947,FALSE,FALSE,FALSE
1903901-HA-628,-0.0268754923585,-0.345336,0.201848,-0.221686773956,-0.403,0.00596485,-0.037862431287,-0.403,0.00596485,FALSE,FALSE,FALSE
1903901-NP-707,0.038699016662,-0.119871,0.253394,0.024341422542,-0.171301,0.199688,0.034750636951,-0.171301,0.199688,FALSE,FALSE,FALSE
1903901-NS-315,0.0189822633121,-0.163867,0.213413,0.021938724551,-0.157637,0.216668,0.0131451878675,-0.157637,0.216668,FALSE,FALSE,FALSE
1903901-PA-1502,0.0282285360402,-0.139472,0.219943,0.0171537584124,-0.162839,0.210744,0.0316875289901,-0.162839,0.210744,FALSE,FALSE,FALSE
1903901-PA-229,-0.1222104263075,-0.373088,0.165666,-0.135808936257,-0.319048,0.0672625,-0.011549077517,-0.319048,0.0672625,FALSE,FALSE,FALSE
1903901-PB1-144,0.03231097656877,-0.155222,0.221792,-0.0909341527979999,-0.307649,0.158826,0.0334735605869,-0.307649,0.158826,FALSE,FALSE,FALSE
1910302-NS-88,0.32157417599,0.137614,0.499363,0.312690723629999,0.0999979,0.496561,0.338395577099999,0.0999979,0.496561,TRUE,TRUE,TRUE
1910302-HA-783,-0.460897558,-0.499631,-0.398339,-0.457925926,-0.499905,-0.387212,-0.464741257999999,-0.499905,-0.387212,FALSE,FALSE,FALSE
1910302-NA_-87,-0.461679451000001,-0.499967,-0.401049,-0.457226699000001,-0.499809,-0.380064,-0.46491883,-0.499809,-0.380064,FALSE,FALSE,FALSE
1805202-NA_-843,-0.1564992636917,-0.268876,-0.0110819,-0.154992951452,-0.302229,-0.0151019,-0.161854299321,-0.302229,-0.0151019,FALSE,FALSE,FALSE
1805202-PB1-511,0.119567238694,-0.136233,0.417261,0.112862002669,-0.175383,0.442042,0.114567559895,-0.175383,0.442042,FALSE,FALSE,FALSE
1902701-NA_-843,0.391805137,0.276292,0.499368,0.383964839,0.255156,0.499417,0.39778826,0.255156,0.499417,TRUE,TRUE,TRUE
1902701-NA_-904,-0.054992304847,-0.192744,0.0990429,-0.050474558038,-0.20768,0.110906,-0.0549981197427,-0.20768,0.110906,FALSE,FALSE,FALSE
1806902-M-145,-0.236190544817,-0.492292,0.0458186,-0.232507274543,-0.490575,0.0532853,-0.180153390282,-0.490575,0.0532853,FALSE,FALSE,FALSE
1902701-PB1-859,0.0235200593256,-0.195553,0.241136,0.0252179025014,-0.183354,0.28229,0.022796600094,-0.183354,0.28229,FALSE,FALSE,FALSE
1700103-PA-1773,0.121966198352,-0.202134,0.491399,0.04231954805662,-0.329425,0.493601,0.132245591492,-0.329425,0.493601,FALSE,FALSE,FALSE
1806902-HA-628,0.028748696789,-0.306039,0.432228,0.026762936821,-0.359175,0.423422,0.025618980295,-0.359175,0.423422,FALSE,FALSE,FALSE
1809802-HA-1301,0.0382542345964,-0.351676,0.453121,-0.0434361739336,-0.475315,0.378169,-0.0717601571756999,-0.475315,0.378169,FALSE,FALSE,FALSE
1809802-HA-628,0.03428323629,-0.370418,0.436607,0.048987279366,-0.297662,0.489106,0.023039004524,-0.297662,0.489106,FALSE,FALSE,FALSE
1809802-NA_-58,0.0633036639274,-0.240471,0.395153,0.049394745449,-0.298153,0.395518,0.0494553514067,-0.298153,0.395518,FALSE,FALSE,FALSE
1809802-NS-597,-0.017805285923,-0.396247,0.412945,-0.0328029003778,-0.464736,0.394174,-0.10217583047,-0.464736,0.394174,FALSE,FALSE,FALSE
1902902-HA-628,-0.041558683213,-0.478743,0.375786,-0.042239980641,-0.479458,0.375792,0.016581409859,-0.479458,0.375792,FALSE,FALSE,FALSE
1910401-HA-477,0.011795025527,-0.152811,0.194218,0.0119282684356,-0.17756,0.202575,0.0104373751889,-0.17756,0.202575,FALSE,FALSE,FALSE
1910401-NA_-843,0.195798788916,-0.0889829,0.497159,0.163451574769,-0.155664,0.491383,0.226260880483,-0.155664,0.491383,FALSE,FALSE,FALSE
1910401-NS-401,-0.275988626,-0.447512,-0.0825146,-0.268233533681,-0.471593,-0.0558418,-0.2719082914,-0.471593,-0.0558418,FALSE,FALSE,FALSE
1910902-HA-628,0.041677556628,-0.342884,0.455596,0.0357654074619,-0.346221,0.414827,-0.021350702726,-0.346221,0.414827,FALSE,FALSE,FALSE
1902701-NA_-805,0.077506085057,-0.313825,0.498231,0.090767385033,-0.287947,0.499853,0.088916639861,-0.287947,0.499853,FALSE,FALSE,FALSE
1805202-HA-628,0.090107229848,-0.322586,0.490459,-0.143145316383,-0.498924,0.340859,-0.0471948861779,-0.498924,0.340859,FALSE,FALSE,FALSE
1903904-HA-754,0.031864920353,-0.21532,0.302393,0.038179716499,-0.23765,0.296976,0.0414786940832999,-0.23765,0.296976,FALSE,FALSE,FALSE
1903904-PB1-859,0.051020414374,-0.182061,0.294386,0.042297902643,-0.19549,0.303321,0.037986373566,-0.19549,0.303321,FALSE,FALSE,FALSE
